molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL105460,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnnc2-c2ccccc2)c2ccccc2)CC1,335.0,active
CHEMBL105606,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cncn2)c2ccccc2)CC1,28.0,active
CHEMBL105570,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,10.0,active
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,35.0,active
CHEMBL325357,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2ncc3ccccc32)c2ccccc2)CC1,15.0,active
CHEMBL105572,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(Cl)c2Cl)c2ccccc2)CC1,16.0,active
CHEMBL107750,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(CC#N)c2)c2ccccc2)CC1,15.0,active
CHEMBL105659,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,112.0,active
CHEMBL107380,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,10.0,active
CHEMBL104793,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,7.0,active
CHEMBL106231,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cc3ccccc3n2)c2ccccc2)CC1,27.0,active
CHEMBL321539,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,246.0,active
CHEMBL322439,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc([N+](=O)[O-])c2)c2ccccc2)CC1,15.0,active
CHEMBL104474,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,25.0,active
CHEMBL319622,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,48.0,active
CHEMBL104867,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(c2ccccc2)C2Nc3ccccc3S(=O)(=O)N2)CC1,55.0,active
CHEMBL104464,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnc(-c3ccccc3)n2)c2ccccc2)CC1,111.0,active
CHEMBL106803,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,4.0,active
CHEMBL320365,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(-c3ccccc3)c2)c2ccccc2)CC1,23.0,active
CHEMBL61536,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,2.0,active
CHEMBL61374,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.5,active
CHEMBL292625,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Br)cc3)CC2)CC1,2.2,active
CHEMBL59511,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3cccc(C#N)c3)c3ccccc3)CC2)CC1,0.6,active
CHEMBL60711,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2c[nH]c3ccccc23)CC1,48.0,active
CHEMBL59492,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(NCc3ccccc3)CC2)CC1,1000.0,active
CHEMBL61465,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccccc3)CC2)CC1,100.0,active
CHEMBL556314,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,3.3,active
CHEMBL59602,Cc1ncnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.2,active
CHEMBL418120,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3C#N)c3ccccc3)CC2)CC1,80.0,active
CHEMBL58176,COc1cccc(OC)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,42.0,active
CHEMBL292894,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2ccccc2)CC1,200.0,active
CHEMBL58101,Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,11.1,active
CHEMBL61828,Cc1ccnc(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,3.0,active
CHEMBL58441,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2c(Cl)cccc2Cl)CC1,2.4,active
CHEMBL59328,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3ccccc23)CC1,3.7,active
CHEMBL58004,Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,2.9,active
CHEMBL304931,CN(C)C(=O)c1ccccc1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,100.0,active
CHEMBL58897,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(C(F)(F)F)cc3)CC2)CC1,0.8,active
CHEMBL301454,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,1.4,active
CHEMBL416512,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)Cc3ccccc3)CC2)CC1,75.0,active
CHEMBL60279,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc4ccn(C)c4c3)CC2)CC1,91.0,active
CHEMBL62152,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,2.6,active
CHEMBL61424,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,1.0,active
CHEMBL59358,COc1cc(CN(c2ccccc2)C2CCN(C3(C)CCN(C(=O)c4c(C)cc[n+]([O-])c4C)CC3)CC2)cc(OC)c1OC,1000.0,active
CHEMBL61466,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Cl)cc3)CC2)CC1,2.4,active
CHEMBL59285,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(-c4ccccc4)cc3)CC2)CC1,460.0,active
CHEMBL294271,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,102.0,active
CHEMBL61373,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,2.8,active
